name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,,,unknown
Super Mario 64,DS,2004,Platform,5.01,3.07,1.25,0.97,,,unknown
Call of Duty: Ghosts,X360,2013,Shooter,6.73,2.56,0.04,0.91,73.0,26.0,M
Just Dance 3,Wii,2011,Misc,5.95,3.11,0.0,1.06,74.0,78.0,E10+
New Super Mario Bros. 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,78.0,72.0,E
Mario Kart 64,N64,1996,Racing,5.55,1.94,2.23,0.15,,,unknown
Halo: Reach,X360,2010,Shooter,7.04,1.95,0.08,0.79,91.0,79.0,M
Final Fantasy VII,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,92.0,92.0,T
Halo 4,X360,2012,Shooter,6.65,2.28,0.04,0.74,87.0,70.0,M
Gran Turismo 2,PS,1999,Racing,3.88,3.42,1.69,0.5,93.0,90.0,T
Just Dance 2,Wii,2010,Misc,5.8,2.85,0.01,0.78,74.0,73.0,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,4.1,3.63,0.38,1.25,71.0,26.0,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,5.93,2.36,0.13,0.9,94.0,84.0,M
Donkey Kong Country,SNES,1994,Platform,4.36,1.71,3.0,0.23,,,unknown
Minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,,,unknown
Animal Crossing: New Leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,88.0,87.0,E
Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,72.0,78.0,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,96.0,84.0,M
Super Mario Kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,,,unknown
FIFA 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,82.0,43.0,E
Halo 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,95.0,82.0,M
Wii Party,Wii,2010,Misc,1.75,3.47,2.49,0.67,68.0,74.0,E
Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,62.0,63.0,E
FIFA Soccer 13,PS3,2012,Action,1.06,5.01,0.13,1.97,88.0,66.0,E
GoldenEye 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,,,unknown
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,,,unknown
Final Fantasy X,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,92.0,87.0,T
The Sims 3,PC,2009,Simulation,0.99,6.42,0.0,0.6,86.0,76.0,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57,3.86,0.66,0.91,,,unknown
Star Wars Battlefront (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,,,unknown
Final Fantasy VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,90.0,86.0,T
Pac-Man,2600,1982,Puzzle,7.28,0.45,0.0,0.08,,,unknown
Pokémon Platinum Version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,83.0,85.0,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9,2.81,0.24,1.73,88.0,76.0,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81,3.48,0.14,1.23,83.0,57.0,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,4.1,1.89,1.45,0.16,,,unknown
FIFA 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,85.0,50.0,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78,2.17,1.31,0.31,,,unknown
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,,,unknown
Super Mario Galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,97.0,91.0,E
Super Mario Bros. 2,NES,1988,Platform,5.39,1.18,0.7,0.19,,,unknown
Call of Duty: Black Ops 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,,,unknown
Call of Duty: World at War,X360,2008,Shooter,4.81,1.88,0.0,0.69,84.0,76.0,M
Battlefield 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,84.0,74.0,M
Need for Speed Underground,PS2,2003,Racing,3.27,2.83,0.08,1.02,85.0,86.0,E
Just Dance,Wii,2009,Misc,3.48,2.99,0.0,0.73,49.0,80.0,E10+
Battlefield 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,85.0,75.0,M
Fallout 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,87.0,65.0,M
Tekken 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,96.0,91.0,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,3.74,2.14,0.6,0.68,95.0,90.0,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,,,unknown
Crash Bandicoot 3: Warped,PS,1998,Platform,3.68,1.75,1.42,0.28,91.0,89.0,E
Mario Kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,88.0,91.0,E
Super Smash Bros. Melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,92.0,91.0,T
Mario Kart: Double Dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,,,unknown
Need for Speed Underground 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,82.0,86.0,E
Medal of Honor: Frontline,PS2,2002,Shooter,2.93,2.75,0.17,0.99,88.0,85.0,T
Crash Bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,,,unknown
Just Dance 4,Wii,2012,Misc,4.05,2.16,0.0,0.55,74.0,73.0,E10+
Gears of War 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,93.0,77.0,M
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,92.0,83.0,T
Zumba Fitness,Wii,2010,Sports,3.45,2.59,0.0,0.66,,,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,94.0,84.0,M
Uncharted 2: Among Thieves,PS3,2009,Action,3.27,2.2,0.21,0.98,96.0,88.0,T
FIFA 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,,,unknown
Big Brain Academy,DS,2005,Misc,1.66,2.75,1.6,0.62,74.0,74.0,E
The Legend of Zelda,NES,1986,Action,3.74,0.93,1.69,0.14,,,unknown
Red Dead Redemption,PS3,2010,Action,2.79,2.53,0.17,0.99,95.0,88.0,M
FIFA 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,86.0,43.0,E
Assassin's Creed III,PS3,2012,Action,2.64,2.52,0.16,1.12,85.0,69.0,M
Donkey Kong Country Returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,87.0,86.0,E
Halo: Combat Evolved,XB,2001,Shooter,4.98,1.3,0.08,0.07,97.0,86.0,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,92.0,64.0,M
Pokémon Emerald Version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,76.0,90.0,E
Kingdom Hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,85.0,88.0,E
Pokémon Crystal Version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,,,unknown
Halo 3: ODST,X360,2009,Shooter,4.34,1.34,0.06,0.61,83.0,71.0,M
Red Dead Redemption,X360,2010,Action,3.7,1.95,0.09,0.58,95.0,90.0,M
Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,92.0,86.0,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,,,unknown
World of Warcraft,PC,2004,Role-Playing,0.08,6.21,0.0,0.0,93.0,73.0,T
Driver,PS,1999,Action,3.11,2.8,0.02,0.33,87.0,81.0,T
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,91.0,78.0,M
Kinect Sports,X360,2010,Sports,3.92,1.73,0.03,0.51,73.0,74.0,E10+
Gears of War,X360,2006,Shooter,3.54,1.88,0.07,0.6,94.0,83.0,M
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,82.0,57.0,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,96.0,87.0,M
Sonic the Hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,,,unknown
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24,94.0,94.0,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63,1.71,0.83,0.82,94.0,87.0,M
Final Fantasy XII,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,92.0,76.0,T
The Last of Us,PS3,2013,Action,2.41,2.18,0.28,0.99,95.0,91.0,M
LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,95.0,68.0,E
Resident Evil 2,PS,1998,Action,1.88,1.47,2.02,0.45,89.0,92.0,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,87.0,88.0,E10+
Tekken 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,89.0,89.0,T
Destiny,PS4,2014,Shooter,2.49,2.07,0.16,0.92,76.0,61.0,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57,1.55,0.0,0.51,80.0,89.0,E10+
Cooking Mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,67.0,72.0,E
Tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,,,unknown
Super Smash Bros.,N64,1999,Fighting,2.95,0.6,1.97,0.04,,,unknown
Assassin's Creed II,PS3,2009,Action,2.54,1.93,0.21,0.86,91.0,86.0,M
Assassin's Creed,X360,2007,Adventure,3.28,1.64,0.07,0.56,81.0,77.0,M
Forza Motorsport 3,X360,2009,Racing,2.99,1.9,0.1,0.5,92.0,80.0,E
Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,84.0,78.0,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,81.0,87.0,T
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,96.0,86.0,T
Grand Theft Auto V,XOne,2014,Action,2.81,2.19,0.0,0.47,97.0,79.0,M
Mario Kart: Super Circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,93.0,83.0,E
Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,,,unknown
Pokemon Stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,,,unknown
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,66.0,71.0,E
Call of Duty: World at War,PS3,2008,Shooter,2.73,1.83,0.0,0.83,85.0,76.0,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85,2.5,0.19,0.85,93.0,79.0,T
Dr. Mario,GB,1989,Puzzle,2.18,0.96,2.0,0.2,,,unknown
Final Fantasy XIII,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,83.0,73.0,T
Pokemon Pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,,,unknown
Final Fantasy IX,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,94.0,89.0,T
Assassin's Creed III,X360,2012,Action,3.13,1.69,0.03,0.44,84.0,67.0,M
Final Fantasy X-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,85.0,66.0,T
Donkey Kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,,,unknown
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22,1.55,0.01,0.48,81.0,54.0,M
Minecraft,PS3,2014,Misc,2.03,2.37,0.0,0.87,,,unknown
Assassin's Creed II,X360,2009,Action,3.11,1.55,0.08,0.51,90.0,88.0,M
Tomb Raider II,PS,1997,Action,2.3,2.46,0.2,0.28,85.0,,T
Madden NFL 2004,PS2,2099,Sports,4.26,0.26,0.01,0.71,94.0,85.0,E
Tomodachi Life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,,,unknown
New Super Mario Bros. U,WiiU,2012,Platform,2.3,1.34,1.27,0.32,84.0,81.0,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,89.0,88.0,T
Super Mario Bros. 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,,,unknown
Professor Layton and the Curious Village,DS,2007,Puzzle,1.21,2.43,1.03,0.52,85.0,86.0,E
Super Mario Land 3: Wario Land,GB,1994,Platform,2.49,0.98,1.57,0.15,,,unknown
FIFA Soccer 13,X360,2012,Action,1.09,3.47,0.03,0.57,90.0,61.0,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,,,unknown
Diablo III,PC,2012,Role-Playing,2.44,2.16,0.0,0.54,88.0,40.0,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,1.98,2.23,0.13,0.8,68.0,76.0,T
Kirby's Dream Land,GB,1992,Platform,2.71,0.61,1.7,0.11,,,unknown
Microsoft Flight Simulator,PC,1996,Simulation,3.22,1.69,0.0,0.2,,,unknown
Guitar Hero II,PS2,2006,Misc,3.81,0.63,0.0,0.68,92.0,85.0,T
Fable III,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,80.0,65.0,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,1.63,2.45,0.44,0.57,,,unknown
Resident Evil 5,PS3,2009,Action,1.96,1.41,1.08,0.64,84.0,75.0,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,1.85,1.8,0.95,0.48,90.0,80.0,E
Super Mario Bros.,GB,1999,Platform,3.4,1.3,0.15,0.22,,,unknown
FIFA Soccer 11,PS3,2010,Sports,0.61,3.28,0.06,1.12,89.0,80.0,E
Resident Evil,PS,1996,Action,2.05,1.16,1.11,0.73,91.0,90.0,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,1.7,1.99,0.16,1.18,86.0,80.0,M
Tony Hawk's Pro Skater,PS,1999,Sports,3.42,1.38,0.02,0.2,92.0,92.0,T
Warzone 2100,PS,1999,Strategy,2.79,1.89,0.0,0.33,,,unknown
Spyro the Dragon,PS,1998,Platform,3.36,1.36,0.07,0.21,,,unknown
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,82.0,82.0,T
Link's Crossbow Training,Wii,2007,Shooter,3.05,1.17,0.29,0.46,68.0,71.0,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,,,unknown
Fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,93.0,85.0,M
Uncharted: Drake's Fortune,PS3,2007,Action,2.31,1.72,0.12,0.77,88.0,81.0,T
Madden NFL 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,88.0,80.0,E
Diddy Kong Racing,N64,1997,Racing,2.91,0.99,0.89,0.1,,,unknown
Monster Hunter Freedom 3,PSP,2010,Role-Playing,0.0,0.0,4.87,0.0,,,unknown
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6,1.08,0.81,0.38,,,unknown
Dr. Mario,NES,1990,Puzzle,2.62,0.6,1.52,0.1,,,unknown
StarCraft II: Wings of Liberty,PC,2010,Strategy,2.57,1.68,0.0,0.58,93.0,82.0,T
Assassin's Creed,PS3,2007,Adventure,1.91,2.0,0.09,0.82,81.0,73.0,M
God of War III,PS3,2010,Action,2.74,1.33,0.12,0.61,92.0,87.0,M
Crash Team Racing,PS,1999,Racing,2.57,1.57,0.44,0.21,88.0,90.0,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,2.83,1.48,0.0,0.45,80.0,54.0,E
Driver 2,PS,2000,Action,2.36,2.1,0.02,0.25,62.0,77.0,T
Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,94.0,87.0,T
The Last of Us,PS4,2014,Action,1.88,2.0,0.07,0.77,,,unknown
The Simpsons: Hit & Run,PS2,2003,Racing,1.73,2.19,0.0,0.79,,,unknown
Tony Hawk's Pro Skater 2,PS,2000,Sports,3.05,1.41,0.02,0.2,98.0,77.0,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,1.94,1.95,0.08,0.7,82.0,82.0,T
Tomb Raider,PS,1996,Action,2.29,1.97,0.13,0.24,91.0,86.0,T
Animal Crossing: City Folk,Wii,2008,Simulation,1.82,1.12,1.32,0.36,73.0,76.0,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.07,1.71,0.08,0.76,86.0,81.0,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,2.42,0.91,1.15,0.13,,,unknown
The Legend of Zelda: The Wind Waker,GC,2002,Action,2.6,0.99,0.89,0.13,96.0,89.0,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,3.04,1.11,0.0,0.43,86.0,84.0,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,1.8,1.39,1.11,0.29,86.0,84.0,E
Forza Motorsport 4,X360,2011,Racing,2.08,1.97,0.06,0.46,91.0,82.0,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,1.87,1.96,0.22,0.48,,,unknown
Madden NFL 2005,PS2,2004,Sports,4.18,0.26,0.01,0.08,91.0,79.0,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,3.19,0.91,0.01,0.42,85.0,79.0,T
Pitfall!,2600,1981,Platform,4.21,0.24,0.0,0.05,,,unknown
Madden NFL 07,PS2,2006,Sports,3.63,0.24,0.01,0.61,84.0,82.0,E
Halo 5: Guardians,XOne,2015,Shooter,2.78,1.27,0.03,0.41,84.0,64.0,T
Spider-Man: The Movie,PS2,2002,Action,2.71,1.51,0.03,0.23,76.0,79.0,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,0.2,0.14,4.1,0.02,,,unknown
Call of Duty: Infinite Warfare,PS4,2016,Shooter,1.61,2.0,0.15,0.71,77.0,34.0,M
God of War,PS2,2005,Action,2.71,1.29,0.02,0.43,94.0,89.0,M
Splatoon,WiiU,2015,Shooter,1.54,1.18,1.46,0.26,81.0,85.0,E10+
Nintendo Land,WiiU,2012,Misc,2.52,1.11,0.46,0.33,77.0,79.0,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,2.66,1.29,0.01,0.46,97.0,75.0,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,0.1,2.39,1.05,0.86,86.0,89.0,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,2.82,1.03,0.13,0.4,94.0,87.0,M
Zelda II: The Adventure of Link,NES,1987,Adventure,2.19,0.5,1.61,0.08,,,unknown
Need for Speed: Most Wanted,PS2,2005,Racing,2.03,1.79,0.08,0.47,82.0,91.0,T
Michael Jackson: The Experience,Wii,2010,Misc,2.64,1.33,0.01,0.39,56.0,83.0,E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,1.56,1.93,0.19,0.68,,48.0,M
Resistance: Fall of Man,PS3,2006,Shooter,1.74,1.72,0.14,0.75,86.0,81.0,M
Sonic the Hedgehog,GEN,1991,Platform,3.03,0.91,0.26,0.13,,,unknown
Kingdom Hearts II,PS2,2005,Role-Playing,2.2,0.58,1.38,0.17,87.0,90.0,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,2.09,1.31,0.62,0.31,,,unknown
Super Mario 3D World,WiiU,2013,Platform,2.11,1.16,0.73,0.32,93.0,90.0,E
Minecraft,PS4,2014,Misc,1.48,2.02,0.14,0.68,,,unknown
Asteroids,2600,1980,Shooter,4.0,0.26,0.0,0.05,,,unknown
Call of Duty: Advanced Warfare,X360,2014,Shooter,2.77,1.11,0.0,0.4,,49.0,M
FIFA 15,PS3,2014,Sports,0.58,3.02,0.04,0.64,,45.0,E
Fable II,X360,2008,Role-Playing,2.51,1.24,0.11,0.41,89.0,65.0,M
Namco Museum,GBA,2001,Misc,3.0,1.11,0.05,0.07,79.0,73.0,E
Batman: Arkham Asylum,PS3,2009,Action,2.24,1.31,0.07,0.61,91.0,89.0,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,1.46,0.0,0.83,1.93,91.0,93.0,M
Assassin's Creed: Revelations,PS3,2011,Action,1.41,2.01,0.1,0.7,80.0,75.0,M
Fallout 4,XOne,2015,Role-Playing,2.51,1.32,0.01,0.38,88.0,62.0,M
FIFA 14,X360,2013,Sports,0.92,2.89,0.01,0.4,84.0,42.0,E
Daxter,PSP,2006,Platform,2.45,1.01,0.0,0.75,85.0,87.0,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,1.7,2.27,0.0,0.23,,,unknown
FIFA Soccer 06,PS2,2005,Sports,0.78,2.55,0.04,0.84,80.0,78.0,E
EyeToy Play,PS2,2003,Misc,0.88,2.3,0.2,0.83,80.0,75.0,E
Gran Turismo 5 Prologue,PS3,2007,Racing,1.28,1.82,0.57,0.52,80.0,71.0,E
Assassin's Creed: Revelations,X360,2011,Action,2.25,1.47,0.04,0.43,80.0,72.0,M
FIFA 12,X360,2011,Sports,0.84,2.78,0.02,0.53,,,unknown
Teenage Mutant Ninja Turtles,NES,1989,Action,3.38,0.44,0.31,0.04,,,unknown
Street Fighter IV,PS3,2009,Fighting,2.03,1.04,0.58,0.52,94.0,73.0,T
Excitebike,NES,1984,Racing,2.04,0.48,1.57,0.07,,,unknown
Frogger,PS,1997,Action,3.79,0.27,0.0,0.11,,,unknown
Madden NFL 2003,PS2,2002,Sports,3.36,0.21,0.01,0.56,95.0,77.0,E
