name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,0.38,0.01,0.0,0.06,82.0,76.0,M
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,0.26,0.15,0.0,0.05,57.0,68.0,E
Gremlins,2600,1983,Action,0.43,0.03,0.0,0.0,,,unknown
The Mark of Kri,PS2,2002,Action,0.22,0.18,0.0,0.06,80.0,79.0,M
Need for Speed: Hot Pursuit,Wii,2010,Racing,0.17,0.23,0.0,0.05,50.0,37.0,E10+
Jampack Winter 2003 (RP-M),PS2,2003,Misc,0.22,0.18,0.0,0.06,,,unknown
Rugrats: Castle Capers,GBA,2001,Action,0.33,0.12,0.0,0.01,,,unknown
Crash Nitro Kart,GBA,2003,Racing,0.33,0.12,0.0,0.01,77.0,83.0,E
Crayola: Treasure Adventures,DS,2007,Puzzle,0.42,0.01,0.0,0.03,65.0,,E
LEGO The Hobbit,PS3,2014,Action,0.12,0.27,0.0,0.07,,70.0,E10+
Silent Hill: Downpour,PS3,2012,Action,0.21,0.15,0.04,0.06,64.0,69.0,M
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,0.22,0.0,0.22,0.02,,,unknown
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,0.29,0.13,0.0,0.04,72.0,,T
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,0.22,0.17,0.0,0.06,72.0,46.0,E10+
Momotarou Dentetsu 11,PS2,2002,Misc,0.0,0.0,0.46,0.0,,,unknown
Disney Infinity 3.0,WiiU,2015,Action,0.21,0.21,0.0,0.04,,,unknown
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,0.0,0.38,0.0,0.08,,56.0,T
Star Wars: Demolition,PS,2000,Racing,0.25,0.17,0.0,0.03,63.0,65.0,T
Bloody Roar II,PS,1999,Fighting,0.25,0.17,0.0,0.03,,,unknown
Delta Force: Black Hawk Down,PS2,2005,Shooter,0.22,0.17,0.0,0.06,58.0,88.0,T
The Princess and the Frog,Wii,2009,Platform,0.29,0.13,0.0,0.04,,,E
Space Invaders,SNES,1994,Shooter,0.0,0.0,0.46,0.0,,,unknown
.hack//Outbreak Part 3,PS2,2002,Role-Playing,0.14,0.11,0.17,0.04,70.0,87.0,T
Mother 1+2,GBA,2003,Role-Playing,0.0,0.0,0.45,0.01,,,unknown
MX vs. ATV Untamed,PS3,2007,Racing,0.35,0.06,0.0,0.05,67.0,61.0,E
Boom Blox Bash Party,Wii,2009,Puzzle,0.33,0.09,0.0,0.04,86.0,84.0,E
Top Spin,XB,2003,Sports,0.36,0.08,0.0,0.02,89.0,82.0,E
Brothers In Arms: D-Day,PSP,2006,Shooter,0.23,0.14,0.0,0.09,65.0,91.0,M
Warhawk,PS,1995,Simulation,0.25,0.17,0.0,0.03,,,unknown
The Golden Compass,X360,2007,Action,0.3,0.12,0.0,0.04,41.0,41.0,E10+
Tomb Raider: Legend,PSP,2006,Action,0.09,0.24,0.0,0.12,67.0,79.0,T
Just Dance 2014,XOne,2013,Misc,0.3,0.11,0.0,0.04,71.0,70.0,E10+
Tales of Vesperia,PS3,2009,Role-Playing,0.0,0.0,0.45,0.0,,,unknown
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,0.33,0.12,0.0,0.01,,,unknown
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,0.26,0.15,0.0,0.03,,,unknown
Missile Command,PS,1999,Shooter,0.25,0.17,0.0,0.03,,,unknown
FIFA 15,3DS,2014,Sports,0.09,0.34,0.0,0.03,,24.0,E
Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,0.0,0.0,0.45,0.0,,,unknown
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,0.0,0.0,0.45,0.0,,,unknown
Enter the Matrix,GC,2003,Action,0.34,0.09,0.02,0.01,63.0,80.0,T
LEGO The Hobbit,X360,2014,Action,0.2,0.21,0.0,0.04,70.0,87.0,E10+
NASCAR 2005: Chase for the Cup,XB,2004,Racing,0.34,0.1,0.0,0.02,86.0,,E
J-League Excite Stage '95,SNES,1995,Sports,0.0,0.0,0.45,0.0,,,unknown
Vin Diesel: Wheelman,X360,2009,Racing,0.24,0.17,0.0,0.05,,,unknown
NHL 15,X360,2014,Sports,0.35,0.05,0.0,0.05,,28.0,E10+
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,0.23,0.06,0.16,0.01,,,unknown
PlayStation All-Stars Battle Royale,PSV,2012,Action,0.21,0.14,0.01,0.09,75.0,75.0,T
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,0.22,0.17,0.0,0.06,46.0,68.0,E
Bleach: The Blade of Fate,DS,2006,Fighting,0.29,0.01,0.12,0.03,83.0,75.0,T
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,0.42,0.0,0.0,0.03,,,E
Country Dance 2,Wii,2011,Misc,0.43,0.0,0.0,0.03,,,E10+
The Chronicles of Riddick: Escape from Butcher Bay,XB,2099,Shooter,0.32,0.11,0.0,0.02,89.0,89.0,M
NFL Head Coach,PS2,2006,Sports,0.38,0.01,0.0,0.06,66.0,69.0,E
Ghostbusters,2600,1985,Puzzle,0.42,0.03,0.0,0.0,,,unknown
Nickelodeon Team Umizoomi,DS,2011,Action,0.42,0.0,0.0,0.03,,,EC
NCAA Gamebreaker 99,PS,1998,Sports,0.25,0.17,0.0,0.03,,,unknown
Tomb Raider: Underworld,Wii,2008,Action,0.13,0.27,0.0,0.05,70.0,72.0,T
Area 51,PS2,2005,Shooter,0.22,0.17,0.0,0.06,75.0,84.0,M
World Stadium 2,PS,1998,Sports,0.0,0.0,0.42,0.03,,,unknown
NHL 2005,PS2,2004,Sports,0.22,0.17,0.0,0.06,75.0,83.0,E
The New York Times Crosswords,DS,2007,Puzzle,0.42,0.0,0.0,0.03,79.0,67.0,T
Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,0.42,0.0,0.0,0.03,,78.0,E
Barbie as The Island Princess,Wii,2007,Adventure,0.42,0.0,0.0,0.03,,,E
Lego Batman 3: Beyond Gotham,3DS,2014,Action,0.21,0.2,0.0,0.04,,64.0,E10+
iCarly,Wii,2009,Adventure,0.42,0.0,0.0,0.03,,,E
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,0.34,0.1,0.0,0.02,76.0,87.0,T
Phoenix,2600,1981,Simulation,0.42,0.02,0.0,0.0,,,unknown
Dynasty Warriors: Strikeforce,PSP,2009,Action,0.03,0.02,0.38,0.02,65.0,68.0,T
Brain Challenge,DS,2008,Misc,0.41,0.0,0.0,0.03,68.0,70.0,E
Command & Conquer: Red Alert 3,X360,2008,Strategy,0.18,0.23,0.0,0.05,,,unknown
Enemy Territory: Quake Wars,X360,2008,Shooter,0.3,0.11,0.0,0.04,69.0,73.0,T
Major League Baseball 2K11,X360,2011,Sports,0.4,0.03,0.0,0.03,69.0,68.0,E
Harvest Moon DS (US sales),DS,2005,Simulation,0.4,0.05,0.0,0.0,,,unknown
Apocalypse,PS,1998,Action,0.25,0.17,0.0,0.03,,,unknown
ATV Offroad Fury Pro,PSP,2006,Racing,0.37,0.03,0.0,0.04,76.0,,E
Burnout Dominator,PSP,2007,Racing,0.02,0.38,0.01,0.05,76.0,82.0,E10+
Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,Misc,0.32,0.12,0.0,0.01,,,unknown
God Eater 2,PSV,2013,Role-Playing,0.0,0.0,0.45,0.0,,,unknown
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,0.29,0.13,0.0,0.04,,,unknown
Crash of the Titans,Wii,2007,Action,0.39,0.02,0.0,0.03,69.0,58.0,E10+
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,0.0,0.0,0.45,0.0,,,unknown
Red Faction: Armageddon,PS3,2011,Shooter,0.2,0.15,0.03,0.07,71.0,73.0,M
Sphinx and the Cursed Mummy,PS2,2003,Action,0.22,0.17,0.0,0.06,,,unknown
Fatal Fury 2,SNES,1993,Fighting,0.0,0.0,0.45,0.0,,,unknown
Rampage World Tour,N64,1998,Action,0.36,0.08,0.0,0.01,,,unknown
Pokemon Puzzle League,N64,2000,Puzzle,0.36,0.08,0.0,0.01,,,unknown
PES 2009: Pro Evolution Soccer,Wii,2009,Sports,0.09,0.26,0.05,0.05,,,unknown
Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,0.37,0.05,0.0,0.03,,,unknown
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,0.21,0.21,0.0,0.04,,70.0,E10+
Tekken Advance,GBA,2001,Fighting,0.32,0.12,0.0,0.01,82.0,82.0,T
Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,0.22,0.03,0.0,0.2,86.0,84.0,M
Persona,PS,1995,Role-Playing,0.0,0.0,0.42,0.03,,,unknown
Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,0.32,0.12,0.0,0.01,,,E
My Fashion Studio,DS,2007,Misc,0.41,0.0,0.0,0.03,,68.0,E
Maze Craze: A Game of Cops 'n Robbers,2600,2099,Action,0.42,0.02,0.0,0.0,,,unknown
Mobile Suit Gundam,PS,1995,Action,0.0,0.0,0.42,0.03,,,unknown
TNA iMPACT!,X360,2008,Fighting,0.26,0.15,0.0,0.04,,,unknown
Pirates of the Caribbean: At World's End,Wii,2007,Action,0.39,0.02,0.01,0.04,53.0,72.0,T
Bee Movie Game,DS,2007,Action,0.41,0.0,0.0,0.03,58.0,,E
Sega Rally Revo,X360,2007,Racing,0.12,0.28,0.0,0.05,77.0,72.0,E
SingStar Take That,PS2,2009,Misc,0.0,0.06,0.0,0.39,,,unknown
Final Fantasy Collection,PS,1999,Role-Playing,0.0,0.0,0.42,0.03,,,unknown
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,0.09,0.02,0.0,0.34,,,unknown
Samurai Warriors: Xtreme Legends,PS2,2004,Action,0.04,0.03,0.36,0.01,72.0,86.0,T
LEGO Rock Band,DS,2009,Misc,0.32,0.09,0.0,0.04,80.0,75.0,E
NHL FaceOff,PS,1994,Sports,0.25,0.17,0.0,0.03,,,unknown
WWE WrestleMania 21,XB,2005,Fighting,0.34,0.1,0.0,0.02,56.0,69.0,T
NBA Live 2005,GC,2004,Sports,0.35,0.09,0.0,0.01,83.0,67.0,E
F.E.A.R. 3,PS3,2011,Shooter,0.21,0.16,0.01,0.07,74.0,71.0,M
Defender II,2600,1987,Shooter,0.42,0.02,0.0,0.0,,,unknown
WWE Day of Reckoning,GC,2004,Fighting,0.35,0.09,0.0,0.01,79.0,91.0,T
NBA Live 10,X360,2009,Sports,0.4,0.02,0.0,0.03,80.0,77.0,E
ATV Quad Power Racing 2,XB,2003,Racing,0.36,0.07,0.0,0.01,68.0,,E
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,0.21,0.2,0.0,0.04,38.0,50.0,T
Walt Disney World Quest: Magical Racing Tour,PS,2000,Racing,0.25,0.17,0.0,0.03,,,unknown
Pro Evolution Soccer 2017,PS4,2016,Sports,0.02,0.27,0.11,0.05,85.0,76.0,E
Sled Storm,PS2,2002,Racing,0.22,0.17,0.0,0.06,73.0,77.0,T
Vandal Hearts,PS,1996,Role-Playing,0.14,0.09,0.19,0.03,,,unknown
Dead or Alive: Dimensions,3DS,2011,Fighting,0.13,0.21,0.07,0.03,79.0,82.0,T
Disney Infinity 3.0,PS3,2015,Action,0.16,0.21,0.0,0.07,,,unknown
We Sing Encore,Wii,2010,Misc,0.0,0.39,0.0,0.06,,,unknown
Wolfenstein: The New Order,PC,2014,Shooter,0.13,0.29,0.0,0.03,81.0,82.0,M
Deadpool,PS3,2013,Action,0.23,0.14,0.0,0.08,61.0,72.0,M
Jawbreaker,2600,1981,Action,0.42,0.03,0.0,0.0,,,unknown
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,0.22,0.17,0.0,0.06,,,unknown
Watch Dogs,PC,2014,Action,0.15,0.26,0.0,0.03,77.0,47.0,M
Mario Golf: Advance Tour,GBA,2004,Sports,0.32,0.12,0.0,0.01,84.0,86.0,E
Celebrity Sports Showdown,Wii,2008,Sports,0.18,0.22,0.0,0.05,50.0,46.0,E
F.E.A.R. 3,X360,2011,Shooter,0.3,0.11,0.01,0.04,75.0,70.0,M
Disney Guilty Party,Wii,2010,Misc,0.42,0.0,0.0,0.03,78.0,80.0,E
Silent Hill: Homecoming,X360,2099,Action,0.25,0.15,0.0,0.04,70.0,69.0,M
Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004,Misc,0.22,0.17,0.0,0.06,,,unknown
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,0.13,0.23,0.0,0.08,70.0,74.0,M
Discovery Kids: Kitten Corner,DS,2009,Simulation,0.42,0.0,0.0,0.03,,,E
Rock Band Country Track Pack,Wii,2009,Misc,0.41,0.0,0.0,0.03,,,E10+
Major League Baseball 2K6,PS2,2006,Sports,0.37,0.01,0.0,0.06,70.0,52.0,E
Brunswick Pro Bowling,X360,2010,Sports,0.38,0.04,0.0,0.03,44.0,,E
Jampack Volume 13 (RP-M),PS2,2005,Misc,0.37,0.01,0.0,0.06,,,unknown
World Soccer Winning Eleven 9,XB,2005,Sports,0.06,0.33,0.02,0.03,89.0,79.0,E
NBA Live 2000,N64,1999,Sports,0.42,0.02,0.0,0.0,,,unknown
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,0.22,0.17,0.0,0.06,47.0,78.0,T
"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005,Misc,0.37,0.01,0.0,0.06,,,unknown
The Thing,PS2,2002,Adventure,0.22,0.17,0.0,0.06,78.0,74.0,M
Van Helsing,PS2,2004,Action,0.22,0.17,0.0,0.06,64.0,85.0,T
Mario Tennis Ultra Smash,WiiU,2015,Sports,0.13,0.15,0.14,0.02,58.0,53.0,E
Virtua Tennis 4,PS3,2011,Sports,0.09,0.24,0.03,0.08,69.0,66.0,E
X-Men Legends II: Rise of Apocalypse,XB,2005,Role-Playing,0.3,0.12,0.0,0.02,84.0,87.0,T
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,0.26,0.14,0.01,0.04,74.0,72.0,T
Wolfenstein: The New Order,PS3,2014,Shooter,0.14,0.21,0.02,0.07,,71.0,M
Skylanders: Trap Team,PS4,2014,Action,0.19,0.18,0.0,0.07,78.0,56.0,E10+
Worms: Open Warfare 2,PSP,2007,Strategy,0.04,0.26,0.0,0.14,80.0,81.0,E10+
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009,Action,0.26,0.14,0.0,0.04,,,unknown
Spawn: Armageddon,PS2,2003,Action,0.22,0.17,0.0,0.06,56.0,74.0,M
The Godfather (US sales),XB,2006,Action,0.33,0.1,0.0,0.02,,,unknown
Sid Meier's Civilization Revolution,DS,2008,Strategy,0.37,0.03,0.02,0.03,80.0,77.0,E10+
World Stadium EX,PS,1996,Sports,0.0,0.0,0.41,0.03,,,unknown
Tiger Woods PGA Tour 2003,XB,2002,Sports,0.35,0.08,0.0,0.01,88.0,85.0,E
Battlefield 2: Modern Combat,PS2,2005,Shooter,0.37,0.01,0.0,0.06,80.0,85.0,T
50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02,50.0,59.0,M
Densetsu no Stafi 2,GBA,2003,Platform,0.0,0.0,0.43,0.01,,,unknown
Independence Day,PS,1997,Shooter,0.25,0.17,0.0,0.03,,,unknown
Tony Hawk's Proving Ground,PS3,2007,Sports,0.36,0.04,0.0,0.04,73.0,66.0,T
Chocobo Racing,PS,1999,Racing,0.07,0.05,0.3,0.03,,,unknown
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,0.25,0.15,0.0,0.04,,,unknown
LEGO Star Wars II: The Original Trilogy,XB,2006,Action,0.33,0.1,0.0,0.02,85.0,86.0,E10+
Viking: Battle for Asgard,X360,2008,Action,0.16,0.23,0.0,0.05,68.0,80.0,M
Petz: Catz 2,Wii,2007,Simulation,0.4,0.01,0.0,0.03,,58.0,E
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,0.13,0.0,0.31,0.01,83.0,76.0,E
Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,0.0,0.0,0.44,0.0,,,unknown
Ms. Pac-Man Maze Madness,PS,2000,Puzzle,0.25,0.17,0.0,0.03,,,unknown
Blood Omen: Legacy of Kain,PS,1996,Role-Playing,0.25,0.17,0.0,0.03,,,unknown
Super Bomberman 4,SNES,1996,Puzzle,0.0,0.0,0.44,0.0,,,unknown
Fable,X360,2014,Role-Playing,0.25,0.15,0.01,0.04,,,unknown
Family Fest Presents Circus Games,Wii,2008,Misc,0.1,0.29,0.0,0.05,,,E
Dance Dance Revolution: Hottest Party 3,Wii,2009,Simulation,0.26,0.14,0.0,0.04,66.0,82.0,E10+
Bomberman II,NES,1991,Puzzle,0.16,0.03,0.15,0.1,,,unknown
Duke Nukem 64,N64,1997,Shooter,0.35,0.08,0.0,0.01,,,unknown
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011,Action,0.32,0.08,0.0,0.03,,,unknown
The Urbz: Sims in the City (all regions sales),DS,2004,Simulation,0.4,0.01,0.02,0.0,,,unknown
"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,Misc,0.34,0.09,0.0,0.01,,,unknown
Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,0.0,0.0,0.44,0.0,,,unknown
G-Force,Wii,2009,Action,0.19,0.2,0.0,0.05,69.0,80.0,E10+
Army Men World War: Final Front,PS,2001,Action,0.24,0.17,0.0,0.03,,,unknown
Transformers: Fall of Cybertron,X360,2012,Action,0.28,0.12,0.0,0.04,79.0,83.0,T
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Shooter,0.17,0.13,0.06,0.08,74.0,80.0,T
MX Unleashed,XB,2004,Racing,0.34,0.08,0.0,0.02,81.0,93.0,E
Puppy Luv: Spa and Resort,DS,2007,Simulation,0.4,0.0,0.0,0.03,,,E
Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,0.0,0.0,0.44,0.0,,,unknown
Grind Session,PS,2000,Sports,0.24,0.17,0.0,0.03,,,unknown
Naruto: Gekito Ninja Taisen! 3,GC,2004,Fighting,0.0,0.0,0.43,0.01,,,unknown
Madden NFL 12,Wii,2011,Sports,0.41,0.0,0.0,0.03,,62.0,E
Wario World,GC,2003,Platform,0.34,0.09,0.0,0.01,71.0,72.0,E
DmC: Devil May Cry,X360,2013,Action,0.26,0.12,0.01,0.04,86.0,51.0,M
Scooby-Doo! Mystery Mayhem,GBA,2003,Action,0.31,0.12,0.0,0.01,53.0,,E
Super Breakout,2600,2099,Puzzle,0.41,0.03,0.0,0.0,,,unknown
FIFA Soccer 13,PSV,2012,Action,0.0,0.28,0.05,0.11,57.0,41.0,E
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,0.19,0.18,0.0,0.07,59.0,66.0,E10+
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,Misc,0.0,0.0,0.44,0.0,,,unknown
Samurai Warriors 3,Wii,2009,Action,0.09,0.02,0.32,0.01,55.0,72.0,T
Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,0.25,0.14,0.0,0.04,65.0,40.0,E10+
TimeSplitters 2,GC,2002,Shooter,0.34,0.09,0.0,0.01,88.0,90.0,T
Battlebots: Design & Destroy,GBA,2003,Action,0.31,0.12,0.0,0.01,,,unknown
Robert Ludlum's The Bourne Conspiracy,X360,2099,Action,0.26,0.13,0.0,0.04,71.0,72.0,T
Eternal Darkness: Sanity's Requiem,GC,2002,Adventure,0.34,0.09,0.0,0.01,92.0,87.0,M
Food Network: Cook or Be Cooked,Wii,2009,Misc,0.41,0.0,0.0,0.03,53.0,68.0,E
Power Rangers: S.P.D.,GBA,2004,Action,0.31,0.12,0.0,0.01,,,E10+
Naruto: Ultimate Ninja 3,PS2,2005,Fighting,0.36,0.01,0.0,0.06,75.0,87.0,T
The Darkness,X360,2007,Shooter,0.36,0.04,0.01,0.03,82.0,81.0,M
Thrillville: Off the Rails,Wii,2007,Strategy,0.38,0.02,0.0,0.03,70.0,28.0,E10+
Jump Start Pet Rescue,Wii,2009,Misc,0.41,0.0,0.0,0.03,,,unknown
SingStar Motown,PS2,2009,Misc,0.0,0.06,0.0,0.38,,,unknown
Child of Eden,X360,2011,Shooter,0.28,0.12,0.0,0.04,84.0,77.0,E10+
Neon Genesis Evangelion,SAT,1996,Adventure,0.0,0.0,0.44,0.0,,,unknown
Mobile Suit Gundam: One Year War,PS2,2005,Action,0.0,0.0,0.44,0.0,,,unknown
Spider-Man: Shattered Dimensions,PS3,2010,Action,0.26,0.12,0.0,0.05,74.0,75.0,T
Tongari Boushi to Mahou no Otana,DS,2010,Simulation,0.0,0.0,0.44,0.0,,,unknown
NFL Blitz 20-03,PS2,2002,Sports,0.21,0.17,0.0,0.06,73.0,86.0,E
SpongeBob's Atlantis SquarePantis,PS2,2007,Action,0.36,0.01,0.0,0.06,,,E
Eternal Sonata,PS3,2008,Role-Playing,0.19,0.12,0.07,0.05,80.0,78.0,T
SingStar Queen,PS3,2009,Misc,0.11,0.25,0.0,0.07,,,unknown
Karaoke Revolution,Wii,2009,Misc,0.24,0.15,0.0,0.04,63.0,,T
Star Wars: Jedi Starfighter,XB,2002,Simulation,0.35,0.07,0.0,0.02,78.0,52.0,T
Walk it Out!,Wii,2010,Sports,0.35,0.05,0.0,0.03,,,unknown
Classic NES Series: Metroid,GBA,2004,Adventure,0.26,0.1,0.07,0.01,58.0,86.0,E
Nicktoons: Attack of the Toybots,Wii,2007,Platform,0.4,0.0,0.0,0.03,60.0,60.0,E
Primal,PS2,2003,Action,0.21,0.17,0.0,0.06,73.0,86.0,M
Need for Speed: Shift 2 Unleashed,X360,2011,Racing,0.18,0.21,0.0,0.04,,,unknown
Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009,Strategy,0.19,0.07,0.12,0.05,,,unknown
Ninja Gaiden 3,PS3,2012,Action,0.19,0.09,0.11,0.05,58.0,50.0,M
Band Hero,DS,2009,Misc,0.2,0.19,0.0,0.04,65.0,70.0,E10+
Need for Speed Underground 2,GBA,2004,Racing,0.31,0.12,0.0,0.01,72.0,82.0,E
Madden NFL 2002,N64,2001,Sports,0.41,0.02,0.0,0.0,,,unknown
007: Quantum of Solace,PS2,2008,Action,0.17,0.0,0.0,0.26,,,unknown
Master of Illusion,DS,2006,Puzzle,0.16,0.0,0.26,0.01,69.0,,E
Spec Ops: Covert Assault,PS,2001,Shooter,0.24,0.16,0.0,0.03,,,T
SSX Tricky,XB,2001,Sports,0.32,0.09,0.0,0.02,88.0,85.0,E
Flight Control Rocket,GBA,2005,Simulation,0.31,0.12,0.0,0.01,,,unknown
Tetris Axis,3DS,2011,Puzzle,0.2,0.13,0.06,0.03,74.0,68.0,E
Borderlands: The Handsome Collection,XOne,2015,Shooter,0.26,0.13,0.0,0.04,80.0,78.0,M
Sleeping Dogs,PS4,2014,Action,0.16,0.2,0.0,0.07,,,unknown
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,0.36,0.01,0.0,0.06,68.0,84.0,T
NiGHTS into dreams...,SAT,1996,Platform,0.0,0.0,0.43,0.0,,,unknown
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,0.19,0.18,0.0,0.07,43.0,53.0,T
NCAA Football 2004,XB,2003,Sports,0.4,0.02,0.0,0.02,88.0,88.0,E
Bionicle,PS2,2003,Action,0.21,0.17,0.0,0.06,51.0,36.0,E
Hyrule Warriors,3DS,2016,Action,0.17,0.13,0.11,0.03,,,unknown
DanceStar Party,PS3,2011,Misc,0.0,0.34,0.0,0.1,,,unknown
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,0.15,0.14,0.09,0.06,73.0,75.0,T
Naughty Bear,PS3,2010,Action,0.18,0.18,0.0,0.07,43.0,55.0,T
MLB 2002,PS,2001,Sports,0.24,0.16,0.0,0.03,76.0,81.0,E
Deadpool,X360,2013,Action,0.26,0.13,0.0,0.04,62.0,74.0,M
Lego Batman 3: Beyond Gotham,XOne,2014,Action,0.23,0.17,0.0,0.04,74.0,71.0,E10+
MLB 14: The Show,PS3,2014,Sports,0.35,0.0,0.0,0.08,81.0,68.0,E
Devil May Cry HD Collection,X360,2012,Action,0.28,0.11,0.01,0.03,77.0,84.0,M
Hyperdimension Neptunia,PS3,2010,Role-Playing,0.22,0.09,0.07,0.04,45.0,70.0,T
TimeSplitters,PS2,2000,Shooter,0.21,0.17,0.0,0.06,81.0,80.0,T
Barnstorming,2600,1981,Action,0.4,0.02,0.0,0.0,,,unknown
InuYasha: The Secret of the Cursed Mask,PS2,2004,Role-Playing,0.21,0.17,0.0,0.06,51.0,81.0,T
The Powerpuff Girls: Him and Seek,GBA,2002,Platform,0.31,0.11,0.0,0.01,,,unknown
Mega Man Zero 2,GBA,2003,Platform,0.18,0.07,0.17,0.01,81.0,86.0,E
My Spanish Coach,DS,2007,Misc,0.4,0.0,0.0,0.03,73.0,,E
Wonder Project J: Kikai no Shonen Pino,SNES,1994,Simulation,0.0,0.0,0.43,0.0,,,unknown
Payday 2,PS3,2013,Shooter,0.22,0.14,0.0,0.08,74.0,62.0,M
WWE 2K16,X360,2015,Sports,0.27,0.12,0.0,0.04,,54.0,T
Dragon Ball Z: Shin Budokai - Another Road,PSP,2007,Fighting,0.19,0.09,0.08,0.07,,,unknown
The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004,Misc,0.31,0.11,0.0,0.01,,,unknown
Mass Effect Trilogy,PS3,2012,Action,0.37,0.0,0.0,0.06,,87.0,M
Ghostbusters: The Video Game,PS2,2009,Action,0.15,0.04,0.0,0.24,64.0,87.0,E10+
Hunter: The Reckoning  Wayward,PS2,2003,Action,0.21,0.16,0.0,0.06,68.0,88.0,M
Mischief Makers,N64,1997,Platform,0.25,0.06,0.07,0.06,,,unknown
WipEout 64,N64,1998,Racing,0.28,0.14,0.0,0.01,,,unknown
EyeToy: AntiGrav,PS2,2004,Sports,0.36,0.01,0.0,0.06,71.0,78.0,E
Dora the Explorer: Dora Puppy,DS,2009,Misc,0.39,0.01,0.0,0.03,,,unknown
EverQuest Online Adventures,PS2,2003,Role-Playing,0.21,0.16,0.0,0.05,74.0,82.0,T
OkamiDen,DS,2010,Adventure,0.21,0.06,0.13,0.02,82.0,79.0,E10+
Cool Boarders,PS,1996,Sports,0.1,0.07,0.24,0.03,,,unknown
Hometown Story,3DS,2013,Role-Playing,0.23,0.12,0.04,0.04,47.0,60.0,E10+
Just Dance 4,PS3,2012,Misc,0.26,0.11,0.0,0.06,77.0,71.0,E10+
Mobile Suit Gundam: Zeonic Front,PS2,2001,Simulation,0.09,0.07,0.25,0.02,71.0,88.0,T
Monopoly,PS2,2008,Misc,0.21,0.16,0.0,0.05,,72.0,E
TouchMaster 3,DS,2009,Puzzle,0.29,0.11,0.0,0.04,68.0,,E
Dawn of Mana,PS2,2006,Role-Playing,0.07,0.05,0.29,0.02,57.0,68.0,T
Castlevania: Dawn of Sorrow,DS,2005,Platform,0.34,0.03,0.03,0.03,89.0,85.0,T
Max Payne 3,PC,2012,Shooter,0.16,0.22,0.0,0.05,87.0,76.0,M
Barbie: Groom and Glam Pups,DS,2010,Action,0.25,0.14,0.0,0.04,,,E
Tales of the World: Radiant Mythology,PSP,2006,Role-Playing,0.17,0.01,0.23,0.02,66.0,78.0,T
Petz Bunnyz,DS,2008,Simulation,0.39,0.01,0.0,0.03,,,E
